hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457506.01518,bc,V,11.996,0.02,61.024,1.123
2457451.13725,bc,V,12.061,0.02,57.489,1.058
2457272.87924,ba,V,12.042,0.02,64.618,1.189
2457197.98718,bc,V,11.983,0.02,61.787,1.137
2456888.8658,bc,V,12.068,0.02,57.093,1.051
2457207.00044,ba,V,12.009,0.02,66.585,1.225
2456857.03149,bc,V,12.03,0.02,59.125,1.088
2456827.96305,ba,V,11.908,0.02,73.127,1.346
2458283.9987,bc,V,11.958,0.02,63.18,1.163
2457501.03565,ba,V,12.019,0.02,66.017,1.215
2457277.8554,ba,V,12.036,0.02,64.943,1.195
2457228.95151,bc,V,12.068,0.02,57.088,1.05
2456817.98408,ba,V,12.038,0.02,64.825,1.193
2458309.87625,bc,V,12.056,0.02,57.719,1.062
2458177.13613,bc,V,12.019,0.02,59.727,1.099
2457848.04924,bc,V,11.976,0.02,62.163,1.144
2457652.82973,bc,V,12.067,0.02,57.138,1.051
2457490.04359,ba,V,11.988,0.02,67.898,1.249
2456920.81123,ba,V,12.056,0.02,63.786,1.174
2456818.96769,bc,V,12.041,0.02,58.544,1.077
2458036.78775,ba,V,11.977,0.02,68.587,1.262
2457898.97278,bc,V,12.04,0.02,58.581,1.078
2456888.85403,ba,V,12.084,0.02,62.174,1.144
2458291.83156,bc,V,12.026,0.02,59.339,1.092
2458273.06529,ba,V,11.991,0.02,67.69,1.246
2458037.77941,bc,V,11.992,0.02,61.24,1.127
2457305.77945,bc,V,12.04,0.02,58.577,1.078
2457164.06354,bc,V,11.912,0.02,65.912,1.213
2456832.95243,ba,V,11.917,0.02,72.476,1.334
2457904.90314,bc,V,11.958,0.02,63.225,1.163
2457617.89066,bc,V,12.028,0.02,59.279,1.091
2457583.02325,bc,V,11.982,0.02,61.806,1.137
2457577.0198,bc,V,11.975,0.02,62.22,1.145
2457568.95705,ba,V,11.992,0.02,67.638,1.245
2457482.08304,ba,V,12.006,0.02,66.77,1.229
2456862.91505,bc,V,12.018,0.02,59.787,1.1
2457591.97572,bc,V,12.039,0.02,58.663,1.079
2457506.03018,ba,V,12.001,0.02,67.123,1.235
2457196.91264,ba,V,11.995,0.02,67.485,1.242
2457857.05405,ba,V,12.025,0.02,65.639,1.208
2457597.78957,ba,V,12.014,0.02,66.311,1.22
2457504.00642,ba,V,11.986,0.02,68.022,1.252
2457144.97994,bc,V,11.986,0.02,61.587,1.133
2456923.80717,bc,V,12.066,0.02,57.237,1.053
2456875.89315,bc,V,11.989,0.02,61.445,1.131
2456820.97171,ba,V,12.041,0.02,64.666,1.19
2458385.81858,bc,V,11.984,0.02,61.692,1.135
2457542.98714,ba,V,11.938,0.02,71.12,1.309
2457454.14163,bc,V,11.967,0.02,62.705,1.154
2457196.88487,bc,V,11.992,0.02,61.256,1.127
2457171.93339,bc,V,12.01,0.02,60.262,1.109
2457080.14972,ba,V,11.973,0.02,68.863,1.267
2458370.82463,ba,V,12.025,0.02,65.632,1.208
2458335.86354,bc,V,11.967,0.02,62.671,1.153
2458315.95315,bc,V,11.98,0.02,61.933,1.14
2458262.08144,bc,V,12.078,0.02,56.591,1.041
2457529.97504,bc,V,12.026,0.02,59.354,1.092
2457104.09626,bc,V,12.031,0.02,59.101,1.087
2456864.90493,bc,V,12.005,0.02,60.52,1.114
2456855.91767,bc,V,12.032,0.02,59.031,1.086
2456819.96592,bc,V,12.036,0.02,58.838,1.083
2458348.88804,bc,V,12.025,0.02,59.417,1.093
2458273.08909,bc,V,12.015,0.02,59.94,1.103
2457162.99628,ba,V,11.936,0.02,71.254,1.311
2457101.14433,bc,V,12.046,0.02,58.282,1.072
2457538.99342,ba,V,11.976,0.02,68.638,1.263
2457304.74195,ba,V,12.02,0.02,65.915,1.213
2457204.89585,ba,V,11.989,0.02,67.827,1.248
2457138.04476,ba,V,12.001,0.02,67.102,1.235
2457115.07972,bc,V,11.952,0.02,63.556,1.169
2456868.89918,ba,V,11.983,0.02,68.233,1.255
2457958.99852,bc,V,12.059,0.02,57.595,1.06
2457570.89796,ba,V,11.965,0.02,69.348,1.276
2457298.80464,ba,V,12.01,0.02,66.563,1.225
2456855.02752,ba,V,12.03,0.02,65.348,1.202
2458392.81332,ba,V,12.037,0.02,64.923,1.195
2457639.88145,ba,V,12.035,0.02,65.028,1.197
2457595.85842,bc,V,12.035,0.02,58.889,1.084
2457251.94246,bc,V,12.0,0.02,60.81,1.119
2457097.10758,bc,V,12.011,0.02,60.168,1.107
2458343.9517,bc,V,12.037,0.02,58.764,1.081
2458285.95341,ba,V,11.973,0.02,68.831,1.266
2457548.02325,bc,V,12.011,0.02,60.201,1.108
2457308.77364,bc,V,12.079,0.02,56.528,1.04
2457296.8059,bc,V,12.061,0.02,57.481,1.058
2457265.90678,ba,V,11.978,0.02,68.54,1.261
2456913.82888,ba,V,11.961,0.02,69.636,1.281
2456902.83715,bc,V,12.037,0.02,58.746,1.081
2456891.86084,bc,V,12.085,0.02,56.236,1.035
2456865.91,bc,V,12.01,0.02,60.255,1.109
2456836.04349,bc,V,11.967,0.02,62.696,1.154
2458379.80821,bc,V,12.012,0.02,60.149,1.107
2457693.72264,ba,V,12.036,0.02,64.994,1.196
2457619.87528,bc,V,12.022,0.02,59.605,1.097
2457237.97682,bc,V,11.97,0.02,62.531,1.151
2457173.9392,ba,V,12.018,0.02,66.038,1.215
2457136.03601,ba,V,12.009,0.02,66.596,1.225
2457106.08395,bc,V,12.001,0.02,60.751,1.118
2457974.7817,bc,V,12.048,0.02,58.153,1.07
2457851.07716,ba,V,11.967,0.02,69.238,1.274
2457490.04749,bc,V,11.998,0.02,60.914,1.121
2456906.8455,ba,V,12.042,0.02,64.587,1.188
2456887.87879,ba,V,12.072,0.02,62.854,1.157
2456817.97891,bc,V,12.051,0.02,57.985,1.067
2458361.91077,bc,V,11.993,0.02,61.185,1.126
2457577.05396,ba,V,11.988,0.02,67.924,1.25
2457192.02003,bc,V,12.035,0.02,58.887,1.084
2457113.07879,bc,V,11.971,0.02,62.443,1.149
2456855.03075,bc,V,12.032,0.02,59.054,1.087
2456815.96692,bc,V,12.027,0.02,59.321,1.092
2457464.14477,bc,V,12.01,0.02,60.227,1.108
2456890.86346,ba,V,12.097,0.02,61.445,1.131
2457840.10458,ba,V,11.987,0.02,67.974,1.251
2457587.00774,bc,V,12.003,0.02,60.65,1.116
2457578.05372,ba,V,12.004,0.02,66.921,1.231
2457439.15666,bc,V,11.987,0.02,61.517,1.132
2457320.74467,ba,V,11.955,0.02,70.031,1.289
2456910.83629,bc,V,11.987,0.02,61.552,1.133
2456894.85124,bc,V,12.045,0.02,58.352,1.074
2457288.71407,bc,V,11.97,0.02,62.493,1.15
2457242.96313,bc,V,11.97,0.02,62.482,1.15
2457126.10524,bc,V,11.957,0.02,63.281,1.164
2458280.90734,bc,V,11.97,0.02,62.521,1.15
2458033.79337,bc,V,11.997,0.02,60.953,1.122
2457325.72316,bc,V,11.985,0.02,61.669,1.135
2457973.74323,bc,V,12.014,0.02,60.009,1.104
